4.2239,1.295,96.229,14.072,11.714,-15.291,-16.951,-16.527,-11.984,12.695,0.67062,193.55,4.0991,-13.275,-15.729,-12.118,33.773,148.69,16.447,-4.0662,14.145,2.3069,-17.941,-17.322,-4.0439,-0.19808,4.404,0.12989,19.166,-5.805,-6.3352,-6.8929,203.88,6.1291,-2.7606,-11.946,-3.0621,-0.85681,-10.611,-16.5,16.612,-1.933,-6.1711,16.144,-11.365,-15.016,-14.455,-15.917,8.3831,2.7535,-0.2205,-0.95854,-3.3159,-11.47,7.8814,1.8026,-0.32739,6.1069,10.477,7.6513,4.5487,-5.4742,-7.7992,-8.5861,11.48,4.2076,39.142,26.806,3.4608,-10.938,-13.613,-0.7466,53.219,0.93042,35.026,0.26612,0.50387,-11.913,-15.03,-10.485,17.146,-5.0487,-2.7514,-9.4063,198.83,-13.935,-11.383,-15.777,14.629,28.28,2.8777,-1.274,-2.0638,-16.05,-10.423,-11.248
4.0381,1.6821,104.12,15.875,13.427,-14.386,-16.202,-16.835,-11.521,14.954,1.7437,215.84,6.8841,-11.481,-15.686,-11.514,37.833,165.32,17.895,-3.2295,17.659,5.1544,-17.198,-16.348,-1.7033,2.15,6.6856,1.5492,23.7,-4.0869,-4.5468,-5.0203,226.9,8.4061,-1.7167,-11.483,-0.75124,0.60305,-9.452,-15.414,21.15,0.28,-4.2393,19.217,-10.376,-13.869,-13.729,-15.238,10.833,5.3819,1.1937,1.5969,-1.6067,-10.709,11.073,4.268,1.9357,9.4339,14.413,10.082,7.0575,-3.242,-5.6384,-6.9372,15.454,6.4982,43.576,28.573,5.1672,-9.8632,-12.045,1.2831,61.745,3.6951,42.215,2.3221,3.2032,-10.452,-13.148,-8.8454,20.202,-2.8795,-1.1645,-7.9776,218.92,-13.516,-10.941,-15.986,17.769,36.953,5.529,1.364,0.86978,-15.862,-9.4573,-10.425
3.0841,1.3294,107.39,16.315,14.188,-13.927,-15.643,-17.272,-11.351,15.567,1.9574,230.69,8.7259,-9.8645,-15.838,-11.17,39.421,175.52,17.289,-2.6222,19.917,7.183,-16.433,-15.358,0.053984,3.6515,8.1536,2.1108,26.189,-2.9527,-3.2319,-3.8749,242.1,9.7157,-1.5649,-11.112,0.97557,1.1705,-8.6088,-14.64,24.194,1.7702,-2.8743,20.794,-9.7365,-12.908,-13.193,-14.678,11.78,7.0211,1.8556,3.1985,-0.76899,-10.231,13.28,5.8497,3.3646,11.637,17.202,11.731,8.6271,-1.5026,-3.8382,-5.9191,18.245,7.591,45.546,28.059,5.6969,-9.245,-10.447,2.748,67.739,5.8101,47.863,3.4592,5.3199,-9.2808,-11.581,-7.5754,21.79,-1.2311,-0.47841,-6.9346,231.43,-13.309,-11.054,-16.392,19.653,44.955,7.3457,2.961,3.0779,-15.744,-8.7967,-9.7325
1.8023,0.58091,107.53,15.803,14.283,-13.926,-15.325,-17.742,-11.397,14.741,1.6031,239.18,9.7307,-8.577,-15.972,-10.887,39.092,180.27,15.188,-1.8423,21.047,8.4818,-15.676,-14.426,1.1617,4.3909,8.9888,2.068,26.693,-2.3967,-2.4644,-3.5236,250.62,10.309,-2.0503,-10.712,2.1295,1.0094,-7.9802,-14.285,25.714,2.5905,-2.0945,21.208,-9.2904,-12.1,-12.812,-14.253,11.422,7.703,2.026,3.9344,-0.65065,-10,14.503,6.5984,4.1751,12.795,18.878,12.848,9.397,-0.23506,-2.4693,-5.5969,19.779,7.6674,45.781,26.063,5.2438,-9.0409,-9.004,3.6739,71.429,7.3446,52.184,3.8959,6.9055,-8.5224,-10.609,-6.7491,22.269,-0.085901,-0.48507,-6.2338,237.89,-13.16,-11.552,-16.755,20.503,52.117,8.4796,3.5731,4.4754,-15.586,-8.3603,-9.1036
0.61901,-0.30581,106.38,14.836,14.086,-14.27,-15.22,-18.177,-11.56,12.83,1.0198,243.14,10.138,-7.7036,-15.93,-10.55,37.681,181.31,12.32,-0.6302,21.304,9.2716,-14.938,-13.634,1.6122,4.4871,9.4376,1.7695,25.717,-2.2984,-2.1158,-3.8172,254.46,10.449,-2.8715,-10.211,2.7836,0.38983,-7.4427,-14.289,26.003,2.8197,-1.7073,21.071,-8.9178,-11.366,-12.488,-13.981,10.172,7.5848,1.9536,3.971,-0.91926,-9.8261,14.93,6.7751,4.6395,13.142,19.595,13.696,9.634,0.68138,-1.5697,-5.8543,20.018,7.1062,45.233,23.681,4.2496,-9.0701,-7.9392,4.0534,73.321,8.4689,55.483,3.9507,8.129,-8.3046,-10.291,-6.2686,22.018,0.6881,-0.88977,-5.7509,240.55,-12.962,-12.194,-16.879,20.746,58.425,9.1718,3.3814,5.115,-15.332,-8.1022,-8.5651
-0.17577,-1.1296,105.61,13.879,13.737,-14.805,-15.292,-18.549,-11.706,10.311,0.53734,244.62,10.22,-7.2483,-15.627,-10.085,36.006,180.41,9.4414,1.2299,21.034,9.7281,-14.263,-13.149,1.5189,4.2063,9.6815,1.5656,23.964,-2.5821,-2.1059,-4.5606,255.81,10.329,-3.7405,-9.6608,3.1042,-0.34612,-6.8768,-14.599,25.565,2.6122,-1.5285,20.839,-8.4239,-10.675,-12.167,-13.873,8.5473,6.8826,1.9052,3.6861,-1.2319,-9.5228,14.807,6.5092,4.9658,12.948,19.633,14.454,9.675,1.3464,-1.0195,-6.522,19.131,6.3275,44.794,21.697,3.1737,-9.1865,-7.4873,3.9299,74.111,9.3053,58.154,3.9842,9.0427,-8.6076,-10.479,-6.074,21.444,1.2406,-1.3337,-5.4058,241.54,-12.656,-12.783,-16.578,20.805,63.882,9.8153,2.7957,5.189,-15.011,-7.9908,-8.2127
-0.51773,-1.8218,106.14,13.089,13.249,-15.323,-15.436,-18.881,-11.797,7.6372,0.3867,245.14,10.218,-7.2734,-15.132,-9.5532,34.692,178.76,7.0777,3.5178,20.481,10.009,-13.763,-12.949,1.0158,3.7295,9.8983,1.6672,22.194,-3.1482,-2.349,-5.4937,256.33,10.055,-4.4055,-9.2403,3.182,-1.032,-6.2678,-15.022,24.8,2.1324,-1.3791,20.838,-7.6769,-9.9505,-11.823,-13.869,7.0598,5.8524,1.9658,3.3517,-1.2136,-9.0894,14.372,5.9925,5.3023,12.533,19.255,15.1,9.8571,1.8698,-0.77971,-7.3739,17.322,5.76,44.895,20.599,2.361,-9.2306,-7.7258,3.2637,74.409,10.024,60.387,4.2723,9.7277,-9.4019,-10.994,-6.1332,20.783,1.6941,-1.6303,-5.108,242.03,-12.19,-13.273,-15.854,20.89,68.455,10.617,2.1474,4.9789,-14.721,-8.0222,-8.1496
-0.61454,-2.5307,107.64,12.379,12.446,-15.688,-15.55,-19.239,-11.907,5.0283,0.55438,244.84,10.151,-7.6896,-14.55,-9.0242,33.931,176.46,5.2756,5.8396,19.718,10.12,-13.473,-13.031,0.311,3.1698,10.038,1.9644,20.943,-3.9693,-2.792,-6.2675,256.31,9.5355,-4.8596,-9.0634,3.1703,-1.6272,-5.6503,-15.421,23.969,1.4331,-1.2672,21.097,-6.6141,-9.2394,-11.48,-13.852,5.9625,4.6146,2.1182,3.108,-0.7721,-8.6073,13.73,5.3065,5.6393,12.025,18.689,15.462,10.217,2.2994,-0.67536,-8.2425,14.845,5.5628,45.37,20.089,1.9029,-9.1807,-8.625,2.1379,74.439,10.65,62.076,4.8704,10.132,-10.505,-11.493,-6.3915,20.093,2.0301,-1.7065,-4.871,241.78,-11.632,-13.63,-14.939,20.92,72.004,11.625,1.653,4.7655,-14.465,-8.2025,-8.4608
-0.26377,-3.0138,109.95,11.816,11.518,-15.749,-15.604,-19.558,-11.961,2.9489,1.08,244.39,10.085,-8.4047,-14.065,-8.5085,33.873,173.98,4.0257,7.9458,18.962,10.059,-13.386,-13.293,-0.44924,2.6409,10.23,2.3906,20.543,-4.8861,-3.3833,-6.7267,256.4,8.7841,-5.1354,-9.1323,3.1812,-2.1187,-5.1363,-15.705,23.303,0.69605,-1.0477,21.745,-5.1911,-8.5594,-11.209,-13.752,5.5834,3.4083,2.3271,3.0844,0.080467,-8.157,13.084,4.5817,5.9923,11.539,18.171,15.519,10.937,2.6519,-0.63529,-9.0257,12.146,5.8994,46.136,19.875,1.9111,-8.9808,-9.9936,0.75922,74.58,11.156,63.37,5.7698,10.26,-11.717,-11.724,-6.8099,19.489,2.2171,-1.5237,-4.7522,241.13,-11.069,-13.95,-14.023,20.98,74.603,12.718,1.4004,4.8292,-14.263,-8.4666,-9.0333
0.27312,-3.2986,112.3,11.284,10.512,-15.514,-15.565,-19.778,-11.979,1.4347,1.789,243.88,10.11,-9.2849,-13.742,-8.112,34.355,171.32,3.055,9.6477,18.386,9.8778,-13.491,-13.658,-0.93443,2.14,10.461,2.8448,21.138,-5.7492,-4.0995,-6.737,256.71,7.9199,-5.2419,-9.3617,3.3013,-2.4287,-4.8865,-15.925,22.856,0.053425,-0.79089,22.654,-3.547,-7.9551,-11.013,-13.458,5.8667,2.3358,2.642,3.2471,1.0594,-7.8163,12.655,3.8591,6.2519,11.22,17.822,15.258,11.873,2.8798,-0.62914,-9.6929,9.6243,6.6914,46.901,19.507,2.2651,-8.5757,-11.507,-0.62496,74.949,11.683,64.172,6.7297,10.125,-12.707,-11.631,-7.3324,19.109,2.1861,-1.1876,-4.7011,240.04,-10.627,-14.27,-13.39,20.97,76.242,13.736,1.3787,5.2969,-13.992,-8.7058,-9.6714
